"Naam";"Geboortedatum";"Caps";"Selecties";"Doelpunten";"Speelminuten"
"Jan Vertonghen";"24-04-1987";110;115;9;9387
"Axel Witsel";"12-01-1989";97;102;9;8012
"Jan Ceulemans";"28-02-1957";96;99;22;8256
"Eden Hazard";"07-01-1991";94;99;27;6655
"Timmy Simons";"11-12-1976";94;114;6;7634
"Marouane Fellaini";"22-11-1987";87;96;18;6371
"Eric Gerets";"18-05-1954";86;94;3;7460
"Franky Van der Elst";"30-04-1961";86;93;1;7388
"Daniel Van Buyten";"07-02-1978";85;98;10;6983
"Toby Alderweireld";"02-03-1989";84;95;3;7115
"Vincent Kompany";"10-04-1986";84;86;4;6829
"Enzo Scifo";"19-02-1966";84;87;19;6974
"Mousa Dembélé";"16-07-1987";82;106;5;4779
"Paul Van Himst";"02-10-1943";81;83;30;7038
"Bart Goor";"09-04-1973";78;80;13;6207
"Georges Grün";"25-01-1962";77;81;6;6485
"Romelu Lukaku";"13-05-1993";77;89;43;4507
"Dries Mertens";"06-05-1987";76;90;15;4139
"Lorenzo Staelens";"30-04-1964";70;82;8;5778
"Thomas Vermaelen";"14-11-1985";70;86;1;5513
"Marc Wilmots";"22-02-1969";70;80;29;4947
"Kevin De Bruyne";"28-06-1991";68;74;15;5444
"Vic Mees";"26-01-1927";68;73;3;5982
"Thibaut Courtois";"11-05-1992";67;79;0;6020
"Georges Heylens";"08-08-1941";67;68;0;5972
"Jef Jurion";"24-02-1937";64;68;9;5745
"Jean-Marie Pfaff";"04-12-1953";64;84;0;5761
"Marc Degryse";"04-09-1965";63;67;23;5180
"Frank Vercauteren";"28-10-1956";63;71;9;5090
"Bernard Voorhoof";"11-05-1910";61;63;30;5490
"Kevin Mirallas";"05-10-1987";60;74;10;2825
"Michel Preud'Homme";"24-01-1959";58;72;0;5177
"Eric Deflandre";"02-08-1973";57;67;0;3910
"Emile Mpenza";"04-07-1978";57;59;19;3890
"Wilfried Van Moer";"01-03-1945";57;61;9;4294
"Louis Carré";"07-01-1925";56;58;0;5070
"Jef Mermans";"16-02-1922";56;67;28;5022
"Mbo Mpenza";"04-12-1976";56;66;3;2648
"Luc Nilis";"25-05-1967";56;60;10;3600
"Michel Renquin";"03-11-1955";55;62;0;4595
"Wesley Sonck";"09-08-1978";55;55;24;3495
"Danny Boffin";"10-07-1965";53;70;1;3234
"Raymond Braine";"28-04-1907";52;52;23;4590
"Nacer Chadli";"02-08-1989";52;64;6;2793
"Steven Defour";"15-04-1988";52;84;2;3477
"Armand Swartenbroeks";"30-06-1892";50;50;0;4324
"René Vandereycken";"22-07-1953";50;60;3;4232
"Gert Verheyen";"20-09-1970";50;57;10;3533
"Wilfried Puis";"18-02-1943";49;50;9;4270
"Pol Anoul";"19-08-1922";48;50;20;4350
"Pierre Hanon";"29-12-1936";48;58;3;4259
"Erwin Vandenbergh";"26-01-1959";48;58;20;4028
"Yves Vanderhaeghe";"30-01-1970";48;49;2;3738
"Henri 'Rik' Coppens";"29-04-1930";47;50;21;4260
"Ludo Coeck";"25-09-1955";46;47;4;3762
"Walter Meeuws";"11-07-1951";46;52;0;4027
"Pierre Braine";"26-10-1900";44;44;4;3858
"Swa Van der Elst";"01-12-1954";44;49;14;3397
"Geert De Vlieger";"16-10-1971";43;55;0;3497
"Michel De Wolf";"19-01-1958";42;66;1;3453
"Torreke Lemberechts";"15-05-1924";42;43;14;3780
"Nico Van Kerckhoven";"14-12-1970";42;47;3;3215
"Philippe Albert";"10-08-1967";41;53;5;3376
"Robert Paverick";"29-11-1912";41;41;0;3690
"Lei Clijsters";"06-11-1956";40;53;3;2734
"Christian Piot";"04-10-1947";40;41;1;3600
"Nicolas Lombaerts";"20-03-1985";39;65;3;2871
"Jean Nicolay";"27-12-1937";39;47;0;3464
"Philippe Clement";"22-03-1974";38;47;1;2749
"Stéphane Demol";"11-03-1966";38;38;1;3105
"Alfons Van Brandt";"24-06-1927";38;43;0;3380
"Paul Van Den Berg";"11-10-1936";38;43;16;3313
"Marc Emmers";"25-02-1966";37;39;2;2839
"Florimond Van Halme";"21-03-1895";37;38;1;3240
"Nico Claesen";"01-10-1962";36;41;12;2732
"Glen De Boeck";"22-08-1971";36;46;1;2409
"Johan Walem";"01-02-1972";36;47;2;2648
"Thomas Buffel";"19-02-1981";35;37;6;2502
"Julien Cools";"13-02-1947";35;37;2;2847
