"date";"player_name";"home";"result";"away";"goals";"minutes";"yellow_cards";"red_cars";"caps";"home_goals";"away_goals";"Goals"
1904-05-01;"Camille Van Hoorden";"België";"3-3";"Frankrijk";0;90;0;0;1;3;3;0
1904-05-01;"Charles Cambier";"België";"3-3";"Frankrijk";0;90;0;0;1;3;3;0
1904-05-01;"Edgard Poelmans";"België";"3-3";"Frankrijk";0;90;0;0;1;3;3;0
1904-05-01;"Guillaume Van Den Eynde";"België";"3-3";"Frankrijk";0;90;0;0;1;3;3;0
1904-05-01;"Pierre-Joseph Destrebecq";"België";"3-3";"Frankrijk";1;90;0;0;1;3;3;1
1904-05-01;"Maurice Tobias";"België";"3-3";"Frankrijk";0;90;0;0;1;3;3;0
1904-05-01;"Charles Vanderstappen";"België";"3-3";"Frankrijk";0;90;0;0;1;3;3;0
1904-05-01;"Albert Friling";"België";"3-3";"Frankrijk";0;90;0;0;1;3;3;0
1904-05-01;"Alexandre Wigand";"België";"3-3";"Frankrijk";0;90;0;0;1;3;3;0
1904-05-01;"Georges Quéritet";"België";"3-3";"Frankrijk";2;90;0;0;1;3;3;2
1904-05-01;"Alfred Verdyck";"België";"3-3";"Frankrijk";0;90;0;0;1;3;3;0
1905-04-30;"Camille Van Hoorden";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;2;1;4;0
1905-04-30;"Emile Andrieu";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;1;1;4;0
1905-04-30;"Edgard Poelmans";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;2;1;4;0
1905-04-30;"Hector 'Tasson' Raemaekers";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;1;1;4;0
1905-04-30;"Pierre-Joseph Destrebecq";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;2;1;4;1
1905-04-30;"Charles Vanderstappen";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;2;1;4;0
1905-04-30;"Gustave Vanderstappen";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;1;1;4;0
1905-04-30;"Clément Robyn";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;1;1;4;0
1905-04-30;"Eric Thornton";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;1;1;4;0
1905-04-30;"Prosper Brandsteert";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;1;1;4;0
1905-04-30;"Paul Grumeau";"België";"1-4 (n.v.)";"Nederland";0;120;0;0;1;1;4;0
1905-05-07;"Camille Van Hoorden";"België";"7-0";"Frankrijk";2;90;0;0;3;7;0;2
1905-05-07;"Edgard Poelmans";"België";"7-0";"Frankrijk";0;90;0;0;3;7;0;0
1905-05-07;"Hector 'Tasson' Raemaekers";"België";"7-0";"Frankrijk";0;90;0;0;2;7;0;0
1905-05-07;"Robert Hustin";"België";"7-0";"Frankrijk";0;90;0;0;1;7;0;0
1905-05-07;"Pierre-Joseph Destrebecq";"België";"7-0";"Frankrijk";3;90;0;0;3;7;0;4
1905-05-07;"Maurice Tobias";"België";"7-0";"Frankrijk";0;90;0;0;2;7;0;0
1905-05-07;"Charles Vanderstappen";"België";"7-0";"Frankrijk";0;90;0;0;3;7;0;0
1905-05-07;"Laurent Theunen";"België";"7-0";"Frankrijk";2;90;0;0;1;7;0;2
1905-05-07;"Gustave Vanderstappen";"België";"7-0";"Frankrijk";0;90;0;0;2;7;0;0
1905-05-07;"Henri Dedecker";"België";"7-0";"Frankrijk";0;90;0;0;1;7;0;0
1905-05-07;"Ernest Moreau de Melen";"België";"7-0";"Frankrijk";0;90;0;0;1;7;0;0
1905-05-14;"Camille Van Hoorden";"Nederland";"4-0";"België";0;90;0;0;4;4;0;2
1905-05-14;"Edgard Poelmans";"Nederland";"4-0";"België";0;90;0;0;4;4;0;0
1905-05-14;"Guillaume Van Den Eynde";"Nederland";"4-0";"België";0;90;0;0;2;4;0;0
1905-05-14;"Pierre-Joseph Destrebecq";"Nederland";"4-0";"België";0;90;0;0;4;4;0;4
1905-05-14;"Maurice Tobias";"Nederland";"4-0";"België";0;90;0;0;3;4;0;0
1905-05-14;"Charles Vanderstappen";"Nederland";"4-0";"België";0;90;0;0;4;4;0;0
1905-05-14;"Laurent Theunen";"Nederland";"4-0";"België";0;90;0;0;2;4;0;2
1905-05-14;"Gustave Vanderstappen";"Nederland";"4-0";"België";0;90;0;0;3;4;0;0
1905-05-14;"Henri Dedecker";"Nederland";"4-0";"België";0;90;0;0;2;4;0;0
1905-05-14;"Eric Thornton";"Nederland";"4-0";"België";0;90;0;0;2;4;0;0
1905-05-14;"Joseph Romdenne";"Nederland";"4-0";"België";0;90;0;0;1;4;0;0
1906-04-22;"Camille Van Hoorden";"Frankrijk";"0-5";"België";1;90;0;0;5;0;5;3
1906-04-22;"Charles Cambier";"Frankrijk";"0-5";"België";0;90;0;0;2;0;5;0
1906-04-22;"Robert De Veen";"Frankrijk";"0-5";"België";2;90;0;0;1;0;5;2
1906-04-22;"Hector Goetinck";"Frankrijk";"0-5";"België";0;90;0;0;1;0;5;0
1906-04-22;"Edgard Poelmans";"Frankrijk";"0-5";"België";0;90;0;0;5;0;5;0
1906-04-22;"Guillaume Van Den Eynde";"Frankrijk";"0-5";"België";0;90;0;0;3;0;5;0
1906-04-22;"Robert Hustin";"Frankrijk";"0-5";"België";0;90;0;0;2;0;5;0
1906-04-22;"Roger Pierard";"Frankrijk";"0-5";"België";0;90;0;0;1;0;5;0
1906-04-22;"Pierre-Joseph Destrebecq";"Frankrijk";"0-5";"België";0;90;0;0;5;0;5;4
1906-04-22;"René Feye";"Frankrijk";"0-5";"België";2;90;0;0;1;0;5;2
1906-04-22;"Alphonse Wright";"Frankrijk";"0-5";"België";0;90;0;0;1;0;5;0
1906-04-29;"Camille Van Hoorden";"België";"5-0";"Nederland";0;90;0;0;6;5;0;3
1906-04-29;"Charles Cambier";"België";"5-0";"Nederland";0;90;0;0;3;5;0;0
1906-04-29;"Robert De Veen";"België";"5-0";"Nederland";3;90;0;0;2;5;0;5
1906-04-29;"Hector Goetinck";"België";"5-0";"Nederland";1;90;0;0;2;5;0;1
1906-04-29;"Edgard Poelmans";"België";"5-0";"Nederland";0;90;0;0;6;5;0;0
1906-04-29;"Guillaume Van Den Eynde";"België";"5-0";"Nederland";1;90;0;0;4;5;0;1
1906-04-29;"Robert Hustin";"België";"5-0";"Nederland";0;90;0;0;3;5;0;0
1906-04-29;"Roger Pierard";"België";"5-0";"Nederland";0;90;0;0;2;5;0;0
1906-04-29;"Pierre-Joseph Destrebecq";"België";"5-0";"Nederland";0;90;0;0;6;5;0;4
1906-04-29;"René Feye";"België";"5-0";"Nederland";0;90;0;0;2;5;0;2
1906-04-29;"Alphonse Wright";"België";"5-0";"Nederland";0;90;0;0;2;5;0;0
1906-05-13;"Camille Van Hoorden";"Nederland";"2-3";"België";0;90;0;0;7;2;3;3
1906-05-13;"Charles Cambier";"Nederland";"2-3";"België";2;90;0;0;4;2;3;2
1906-05-13;"Robert De Veen";"Nederland";"2-3";"België";0;90;0;0;3;2;3;5
1906-05-13;"Hector Goetinck";"Nederland";"2-3";"België";0;90;0;0;3;2;3;1
1906-05-13;"Edgard Poelmans";"Nederland";"2-3";"België";0;90;0;0;7;2;3;0
1906-05-13;"Guillaume Van Den Eynde";"Nederland";"2-3";"België";0;90;0;0;5;2;3;1
