"date";"player_name";"home";"result";"away";"goals";"minutes";"yellow_cards";"red_cars";"caps";"home_goals";"away_goals";"Goals"
1977-05-21;"Marina Verdonck";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Rita Bultinck";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Daniella Ottoy";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Jeanine Vanbuel";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Louiza Dirckx";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Maria Seymus";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Marie-Françoise Caillet";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Agnès Debock";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Marieke Helsen";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Ann Van Rijmenam";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-05-21;"Yvonne Vankerkhoven";"Zwitserland";"2-2";"België";0;90;0;0;1;2;2;0
1977-06-05;"Marina Verdonck";"België";"1-1";"Frankrijk";0;81;0;0;2;1;1;0
1977-06-05;"Rita Bultinck";"België";"1-1";"Frankrijk";0;90;0;0;2;1;1;0
1977-06-05;"Daniella Ottoy";"België";"1-1";"Frankrijk";0;90;0;0;2;1;1;0
1977-06-05;"Jeanine Vanbuel";"België";"1-1";"Frankrijk";0;82;0;0;2;1;1;0
1977-06-05;"Louiza Dirckx";"België";"1-1";"Frankrijk";0;90;0;0;2;1;1;0
1977-06-05;"Maria Seymus";"België";"1-1";"Frankrijk";0;90;0;0;2;1;1;0
1977-06-05;"Marie-Françoise Caillet";"België";"1-1";"Frankrijk";0;90;0;0;2;1;1;0
1977-06-05;"Agnès Debock";"België";"1-1";"Frankrijk";0;90;0;0;2;1;1;0
1977-06-05;"Marieke Helsen";"België";"1-1";"Frankrijk";0;90;0;0;2;1;1;0
1977-06-05;"Lydia Duque";"België";"1-1";"Frankrijk";0;9;0;0;1;1;1;0
