"Naam";"Geboortedatum";"Caps";"Selecties";"Doelpunten";"Speelminuten"
"Aline Zeler";"02-06-1983";111;116;29;8300
"Janice Cayman";"12-10-1988";95;97;35;7360
"Heleen Jaques";"20-04-1988";92;102;2;7337
"Maud Coutereels";"21-05-1986";89;101;9;6653
"Femke Maes";"22-02-1980";86;87;26;7241
"Davina Philtjens";"26-02-1989";81;91;8;4743
"Tessa Wullaert";"19-03-1993";81;84;41;6911
"Julie Biesmans";"04-05-1994";64;74;3;5018
"Nadia Dermul";"15-02-1972";61;61;5;4710
"Dorine Delombaerde";"18-05-1960";60;60;0;5329
"Wendy Migom";"12-11-1975";60;61;6;4408
"Ann Noë";"13-04-1959";58;59;0;4981
"Annelies Timmermans";"28-01-1975";58;64;1;4434
"Niki De Cock";"30-12-1985";56;65;4;4693
"Lorca Van De Putte";"03-04-1988";55;67;2;4254
"Kristel Vautmans";"19-08-1976";51;53;2;4258
"Marina Verdonck";"20-01-1955";51;52;9;4633
"Lenie Onzia";"30-05-1989";50;70;4;3014
"Lien Mermans";"27-09-1990";48;55;9;3127
"Ingrid Van Herle";"05-08-1970";47;48;5;3316
"Kristel Verelst";"09-12-1980";47;50;20;3534
"Tine De Caigny";"09-06-1997";46;51;12;3592
"Sonia Deschepper";"06-06-1963";45;45;2;3584
"Yana Daniëls";"08-05-1992";44;51;7;1921
"Inge Heiremans";"09-06-1981";44;53;6;2901
"Michèle Canniere";"24-03-1971";41;43;0;3337
"Christine Saelens";"30-01-1975";41;43;13;3151
"Marlies Verbruggen";"08-01-1988";41;54;2;2445
"Laura Deloose";"18-06-1993";40;46;3;3117
"Audrey Demoustier";"17-03-1985";40;47;4;2689
"Cecile Carnol";"10-03-1977";38;42;12;2352
"Gave Van Poucke";"02-07-1982";37;42;0;3261
"Carine Maus";"09-04-1967";36;40;9;2089
"Marijke Callebaut";"11-08-1980";35;39;3;2813
"Justien Odeurs";"30-05-1997";35;49;0;3060
"Isabelle Deflem";"28-07-1974";34;44;0;2779
"Carla Martens";"22-12-1962";34;34;5;2900
"Nicky Van Den Abbeele";"21-02-1994";34;56;0;1647
"Maryse Gevers";"14-05-1963";33;34;1;3003
"Anita Martens";"10-11-1963";32;32;1;2581
"Laura De Neve";"09-10-1994";31;44;1;1991
"Isabelle Ebhodaghe";"16-01-1979";31;35;6;1760
"Nicky Evrard";"26-05-1995";30;60;0;2656
"Jana Coryn";"26-06-1992";29;42;2;899
"Liesbeth Hemelsoet";"07-09-1979";29;33;0;1784
"Elke Van Gorp";"12-05-1995";29;33;7;1990
"Cecile De Gernier";"25-05-1986";28;37;5;1736
"Davinia Vanmechelen";"30-08-1999";27;32;6;1169
"Sofie Van Houtven";"03-08-1987";25;45;0;2161
"Kristien Elsen";"05-09-1988";23;28;1;955
"Hanne Vandegoor";"26-02-1985";22;22;0;1958
"Imke Courtois";"14-03-1988";21;30;0;1601
"Sophie Mannaert";"13-12-1984";21;31;0;948
"Kassandra Missipo";"03-02-1998";21;25;0;1467
"Myriam Vanslembrouck";"16-06-1970";21;21;16;1577
"Ann Verrept";"23-12-1963";21;24;2;1694
"Sara Yuceil";"22-06-1988";21;33;2;793
"Rita Bultinck";"16-10-1958";20;21;0;1836
"Annick Coolens";"04-09-1964";20;26;0;1438
"Nadia Puttemans";"11-11-1970";20;22;0;1328
"Wendy Seynaeve";"23-05-1983";20;25;3;1296
